GSM	sample	celltype	sample2
GSM2644432	MDP_Normal2	MDP	Normal2
GSM2644433	MDP_Normal3	MDP	Normal3
GSM2644434	MDP_Normal4	MDP	Normal4
GSM2644435	MDP_Normal5	MDP	Normal5
GSM2644436	MDP_PyMT2	MDP	PyMT2
GSM2644437	MDP_PyMT3	MDP	PyMT3
GSM2644438	MDP_PyMT4	MDP	PyMT4
GSM2644439	MDP_PyMT5	MDP	PyMT5
GSM2644440	CDP_Normal2	CDP	Normal2
GSM2644441	CDP_Normal3	CDP	Normal3
GSM2644442	CDP_Normal4	CDP	Normal4
GSM2644443	CDP_Normal5	CDP	Normal5
GSM2644444	CDP_PyMT2	CDP	PyMT2
GSM2644445	CDP_PyMT3	CDP	PyMT3
GSM2644446	CDP_PyMT4	CDP	PyMT4
GSM2644447	CDP_PyMT5	CDP	PyMT5

